iter	RMSE
0	622.7466868
1	571.2690813
2	532.7202964
3	498.4506809
4	463.6308836
5	441.7692648
6	420.291978
7	404.3754703
8	387.2220372
9	374.4221325
10	362.7925141
11	355.623714
12	348.9737962
13	344.7312856
14	339.3653544
15	331.3311613
16	329.2244427
17	323.9107333
18	317.7491296
19	314.4034516
20	307.0761982
21	303.5392452
22	299.1377708
23	295.8475867
24	292.6006221
25	289.321511
26	287.0323779
27	284.809711
28	283.6284365
29	280.2189759
30	279.1471966
31	275.9555375
32	273.218517
33	271.0880486
34	269.3622182
35	267.8813737
36	266.5819013
37	265.4059349
38	263.6494696
39	261.9636846
40	261.0501839
41	259.870902
42	258.6207199
43	256.5707243
44	255.1602158
45	253.4654352
46	252.50285
47	251.4694844
48	250.2467348
49	248.3812023
50	247.3261738
51	246.3421005
52	245.4338725
53	244.8335815
54	244.1507778
55	243.2556282
56	242.866194
57	241.9672978
58	240.4934818
59	239.8781012
60	239.2902377
61	238.1807837
62	236.6281636
63	236.0562278
64	235.2922577
65	234.7895763
66	234.1393468
67	233.2443938
68	232.5540069
69	232.1935206
70	231.4228502
71	230.2429972
72	229.9917628
73	229.8164064
74	229.0206219
75	228.6914555
76	227.6715111
77	227.3214027
78	226.9463241
79	226.1529569
80	225.7077641
81	224.944591
82	224.5455058
83	224.0213828
84	223.1680156
85	222.5767749
86	222.3654984
87	220.9498114
88	220.2518081
89	219.7024937
90	218.6216579
91	218.2710676
92	217.5362473
93	216.617331
94	216.2697113
95	215.6588047
96	214.6534427
97	214.129817
98	213.4946518
99	212.1095986
100	211.5944156
101	211.234217
102	210.5106739
103	210.0564368
104	209.4465372
105	209.2074325
106	208.5931255
107	207.757774
108	207.1735646
109	206.8292993
110	206.5268977
111	205.0714648
112	204.6067447
113	203.9817498
114	203.2213828
115	203.0111684
116	202.4500387
117	201.6532921
118	201.3453
119	201.1237536
120	200.4803423
121	200.2830316
122	199.8871854
123	199.4295858
124	198.6972981
125	198.3477839
126	197.6326724
127	197.2645168
128	196.8954929
129	196.6985292
130	196.1342874
131	195.887172
132	195.5896169
133	195.1559026
134	194.6333248
135	194.2728654
136	193.4572997
137	193.1384875
138	192.8752533
139	192.5192688
140	192.1747415
141	191.7401245
142	191.5873089
143	191.0171985
144	190.7987345
145	190.5513633
146	190.3253275
147	189.8577946
148	189.4953748
149	189.2954372
150	188.6843589
151	188.1128351
152	188.0027643
153	187.7176736
154	187.4385932
155	187.1930968
156	186.5902952
157	185.8112854
158	185.2095354
159	185.0077913
160	184.848866
161	184.2560774
162	184.0740961
163	183.5162455
164	183.1913712
165	183.0018505
166	182.8430228
167	182.7423129
168	182.5455865
169	182.3742062
170	181.773212
171	181.5000085
172	181.0991288
173	180.8985689
174	180.7720377
175	180.4117043
176	179.9257741
177	179.3705897
178	179.1364236
179	178.6811498
180	178.5014939
181	178.2985349
182	177.6774121
183	177.5669653
184	177.0431926
185	176.9075761
186	176.731184
187	176.3049568
188	175.9713326
189	175.6442518
190	175.514904
191	174.9908753
192	174.4563941
193	173.7924991
194	173.6279625
195	173.4559909
196	173.0085977
197	172.5744951
198	172.1620522
199	171.7103511
200	171.4328056
201	171.3119696
202	171.0519281
203	170.6992462
204	170.464739
205	170.3747225
206	170.282741
207	169.9222202
208	169.8657534
209	169.8132529
210	169.5981892
211	169.5475846
212	169.4673829
213	168.9040907
214	168.5748711
215	168.3998878
216	168.3756395
217	168.0174994
218	167.8534849
219	167.8007526
220	167.614405
221	167.4570307
222	167.250384
223	166.9416655
224	166.7111173
225	166.4617162
226	166.3132581
227	166.0659778
228	166.0000848
229	165.8957672
230	165.7782011
231	165.6305501
232	165.5880526
233	165.4679812
234	165.130304
235	164.8459387
236	164.2902667
237	163.9325905
238	163.8688354
239	163.7069001
240	163.473883
241	163.2809149
242	163.2194909
243	163.0026318
244	162.6528601
245	162.4324831
246	162.2061659
247	161.8152039
248	161.5037551
249	161.1225789
250	161.0366955
251	160.8036556
252	160.5749345
253	160.3438414
254	159.9892604
255	159.7762851
256	159.5495536
257	159.4748732
258	159.2188369
259	159.0482932
260	158.7278946
261	158.6678716
262	158.5367837
263	158.3704131
264	158.2397452
265	158.0234463
266	157.9864607
267	157.8057883
268	157.766149
269	157.6024795
270	157.470528
271	157.2834129
272	157.0855074
273	156.9040365
274	156.7573534
275	156.46594
276	156.417579
277	156.2157281
278	155.8318974
279	155.8155429
280	155.4481218
281	155.2395816
282	154.9779798
283	154.6450922
284	154.6250818
285	154.4713339
286	154.1659376
287	153.84401
288	153.6583208
289	153.4020613
290	153.1469523
291	152.9113598
292	152.8642423
293	152.4990995
294	152.2662198
295	152.0728224
296	151.8030208
297	151.7307416
298	151.5906365
299	151.3606443
300	151.2646994
301	151.0842957
302	150.99749
303	150.8519439
304	150.7885781
305	150.7552825
306	150.4468054
307	150.4363148
308	150.1967256
309	150.1387059
310	149.891555
311	149.7880326
312	149.766772
313	149.5337173
314	149.3031183
315	149.2652796
316	149.2145416
317	148.8669272
318	148.5947786
319	148.5491504
320	148.4560955
321	148.1374836
322	147.9203726
323	147.8213044
324	147.5508072
325	147.1267202
326	146.9796831
327	146.9109007
328	146.8834812
329	146.8180187
330	146.6504553
331	146.4054957
332	146.2687416
333	146.1341448
334	146.0929763
335	146.0761192
336	145.8870652
337	145.8546199
338	145.7409741
339	145.2591324
340	145.1726106
341	145.0720141
342	145.0268905
343	144.7528874
344	144.645906
345	144.495245
346	144.2447035
347	144.1729366
348	143.7646479
349	143.6393902
350	143.5811592
351	143.4785632
352	143.2376068
353	143.0837289
354	142.9539309
355	142.8296011
356	142.4683178
357	142.354564
358	141.7292053
359	141.5853328
360	141.2689156
361	141.2047322
362	141.1117117
363	140.5737136
364	140.5222694
365	140.4008803
366	140.214836
367	140.1305167
368	139.8772417
369	139.8691051
370	139.8008899
371	139.7244298
372	139.6775459
373	139.5628233
374	139.4649141
375	139.4287896
376	139.3636753
377	139.2614514
378	139.2244623
379	139.1264452
380	138.835744
381	138.6483294
382	138.6375223
383	138.4809892
384	138.412436
385	138.2972095
386	138.2214005
387	138.1128901
388	138.037036
389	137.9043727
390	137.7244172
391	137.4454679
392	137.3172935
393	137.170883
394	137.0753318
395	136.8648359
396	136.5234374
397	136.4798839
398	136.3277959
399	136.308214
400	136.2011338
401	136.0624547
402	135.8931549
403	135.7923465
404	135.6592981
405	135.59358
406	135.5309135
407	135.4739187
408	135.2604127
409	135.1698213
410	135.1385862
411	135.1053849
412	134.9640539
413	134.9066513
414	134.8601009
415	134.7727841
416	134.6057591
417	134.5548729
418	134.4105649
419	134.3046265
420	134.187571
421	134.1071106
422	133.9987662
423	133.8205515
424	133.731714
425	133.6218422
426	133.5387941
427	133.3643159
428	133.2868095
429	133.0755684
430	132.8269443
431	132.749143
432	132.7014817
433	132.5555813
434	132.467538
435	132.4255657
436	132.2916159
437	132.2770416
438	132.2096668
439	132.177495
440	132.1413386
441	131.8995861
442	131.8016933
443	131.7346661
444	131.4572417
445	131.3899007
446	131.3454545
447	131.1877355
448	131.0728136
449	130.9597004
450	130.9191894
451	130.8300685
452	130.7271095
453	130.6931717
454	130.6556171
455	130.4531275
456	130.4149452
457	130.3554329
458	130.1497857
459	130.0990432
460	129.8441262
461	129.8063076
462	129.6996555
463	129.6624485
464	129.6013274
465	129.5132212
466	129.4608941
467	129.3972554
468	129.3658502
469	129.2684388
470	129.2162989
471	129.1859664
472	129.1532295
473	129.1221683
474	128.980316
475	128.9085325
476	128.774096
477	128.6522915
478	128.4879101
479	128.3919999
480	128.3787936
481	128.3053018
482	128.2765282
483	128.2400428
484	128.2052115
485	128.1364225
486	128.1194957
487	128.0610254
488	127.9119897
489	127.8236279
490	127.7972149
491	127.6687742
492	127.5422783
493	127.4684914
494	127.4395077
495	127.413196
496	127.2294878
497	127.2060589
498	127.1101512
499	126.9758901
