iter	Logloss
0	0.6585072044
1	0.6274349211
2	0.5988478524
3	0.568767025344	0.542101510555	0.519093505166	0.496537967677	0.475894618988	0.457067255599	0.438775168910	0.4298559102
11	0.4155343269
12	0.4015198186
13	0.3879721188
14	0.3752772733
15	0.3632984056
16	0.3511165986
17	0.3402688123
18	0.3318653065
19	0.322920979
20	0.3157937791
21	0.3081256056
22	0.3004184671
223	0.2874217886224	0.281840160625	0.2824553533
26	0.2780948318
27	0.2725874214
28	0.2679549522
29	0.2636106794
30	0.2591470479
31	0.254945773
32	0.2508187515
33	0.2474574558
34	0.2440773676
35	0.2409920185
36	0.2378223414
37	0.2353508529
38	0.2325014849
39	0.2302141605
40	0.2281779724
441	0.2218678527442	0.2200867931443	0.218054641844	0.2203146969
45	0.2184261451
46	0.2166480777
47	0.2120225121
48	0.2106021558
49	0.2094041771
50	0.2081276611
51	0.2070166936
52	0.2059037985
53	0.2047199042
54	0.2037441482
55	0.2027537134
56	0.2019117574
57	0.2009644847
58	0.2003131997
59	0.1993233269
60	0.19871485
61	0.1981187845
62	0.1972125346
63	0.1966274323
64	0.1958587591
65	0.1952390403
66	0.1946214698
67	0.1940328456
68	0.1935189841
69	0.1929737442
70	0.192477479
71	0.1920843747
72	0.191639142
73	0.1913029637
74	0.1907472267
75	0.1902769592
76	0.1899142613
77	0.1894800326
78	0.1892020666
79	0.1888740434
80	0.1885131068
81	0.1881465969
82	0.1877999532
83	0.1874397419
84	0.1871374784
85	0.1868909318
86	0.1865665749
87	0.1863133085
88	0.1860419317
89	0.1858050557
90	0.1855671589
91	0.1853347764
92	0.1850947148
93	0.1848990235
94	0.1845815545
95	0.1843410494
96	0.1841281985
97	0.1839800291
98	0.1837328487
99	0.1835975928
100	0.1833878885
101	0.1832393099
102	0.183065086
103	0.1828868513
104	0.1827001533
105	0.1825081542
106	0.1823602038
107	0.1822390911
108	0.1820014516
109	0.181849281
110	0.181675009
111	0.181574498
112	0.1814810055
113	0.1813851257
114	0.1812979488
115	0.1811875142
116	0.1810355066
117	0.1809265951
118	0.1807617052
119	0.1806216542
120	0.1805463341
121	0.1804355753
122	0.1803077709
123	0.1802472141
124	0.1801438248
125	0.1800421162
126	0.1799856182
127	0.1799010787
128	0.1798856399
129	0.1798148985
130	0.1797161421
131	0.179596238
132	0.1795291248
133	0.1794094724
134	0.1793160494
135	0.1792247862
136	0.1791046246
137	0.1790068984
138	0.1789081862
139	0.1788510629
140	0.1788000696
141	0.1786930767
142	0.1785713593
143	0.1784845512
144	0.1784518779
145	0.1783856052
146	0.1783341118
147	0.1782001869
148	0.1781505161
149	0.1780847381
150	0.1780159848
151	0.1779427335
152	0.1778417533
153	0.177766495
154	0.1777086251
155	0.1776016117
156	0.1775257559
157	0.1774427248
158	0.1773756475
159	0.1773475161
160	0.1773257168
161	0.1773110836
162	0.1772767474
163	0.1771903842
164	0.1771422469
165	0.1770273994
166	0.1769277193
167	0.17688775
168	0.1768637501
169	0.1767498688
170	0.176704301
171	0.1765535135
172	0.176482549
173	0.1764511055
174	0.176388052
175	0.176347144
176	0.1762821678
177	0.1761808634
178	0.1760933968
179	0.1760475358
180	0.1759695181
181	0.1758783893
182	0.1758030788
183	0.1757114542
184	0.1756494652
185	0.1755785928
186	0.1755301091
187	0.1754936983
188	0.1753924093
189	0.1753268045
190	0.175269986
191	0.1751859316
192	0.1750948982
193	0.1750415858
194	0.175001944
195	0.1748963707
196	0.1748354
197	0.1747539392
198	0.1747193095
199	0.1746703167
200	0.1745997072
201	0.1745478817
202	0.1744828843
203	0.1744023117
204	0.174321092
205	0.1742518357
206	0.1742000668
207	0.1741431658
208	0.1741037939
209	0.1740427146
210	0.1739903879
211	0.1739545879
212	0.1738930638
213	0.1738561211
214	0.1737795257
215	0.173761202
216	0.1737047103
217	0.1736453642
218	0.1735821742
219	0.173527977
220	0.1734529973
221	0.1734211948
222	0.1733732516
223	0.1733692935
224	0.1733335491
225	0.1732892616
226	0.1732272414
227	0.1731847703
228	0.1731542414
229	0.173090512
230	0.1730637399
231	0.1730202944
232	0.1729511525
233	0.1728680849
234	0.172793822
235	0.1726999375
236	0.1726377365
237	0.1725493647
238	0.1724715057
239	0.172431188
240	0.1724031438
241	0.172356646
242	0.1723327818
243	0.1722858868
244	0.172227028
245	0.1721981868
246	0.1721775867
247	0.1721549907
248	0.1721109711
249	0.1720596028
250	0.1720027102
251	0.1719598554
252	0.1718962001
253	0.1718553246
254	0.1718364469
255	0.1718003045
256	0.1717456802
257	0.1716960911
258	0.1715773361
259	0.1715166616
260	0.1714618927
