iter	MultiClass
153	0.532695177
154	0.5298316127
155	0.5273386339
156	0.5253542803
157	0.5235502137
158	0.5214149802
159	0.5194191849
160	0.5175643016
161	0.5161398251
162	0.5144410222
163	0.5121305258
164	0.5103048766
165	0.5090427878
166	0.5083446423
167	0.5067927848
168	0.5057123355
169	0.5031994961
170	0.5010786267
171	0.4996871366
172	0.4976880435
173	0.494858384
174	0.4926889787
175	0.4911372988
176	0.4892199783
177	0.4878811229
178	0.4866467084
179	0.4862047463
180	0.4841861591
181	0.4822942088
182	0.4813849329
183	0.4803549134
184	0.4781061202
185	0.4765465601
186	0.4754351535
187	0.4741843723
188	0.4732897323
189	0.472010084
190	0.4711154892
191	0.4699467849
192	0.4684798382
193	0.4665123522
194	0.4651784323
195	0.4639853099
196	0.4625117932
197	0.4610582812
198	0.4596473084
199	0.4585249786
200	0.4573685622
201	0.4554802186
202	0.4540562272
203	0.452621113
204	0.4515153487
205	0.4504506876
206	0.448750593
207	0.4479625928
208	0.4477278703
209	0.4458649935
210	0.4435712151
211	0.4424718031
212	0.4415234406
213	0.4401032035
214	0.4392970664
215	0.4384455655
216	0.437130498
217	0.4364069927
218	0.4345190406
219	0.4328200557
220	0.4312532006
221	0.4306350759
222	0.4288904011
223	0.4274954007
224	0.4261833117
225	0.4253893615
226	0.423734445
227	0.4225955078
228	0.4213508912
229	0.4203542993
230	0.418132897
231	0.4171075589
232	0.4163609545
233	0.4153622154
234	0.414752086
235	0.41411048
236	0.4126411895
237	0.4115301581
238	0.4104195464
239	0.4087309771
240	0.4083029641
241	0.407267632
242	0.4061316831
243	0.4053246094
244	0.4039712335
245	0.4027728685
246	0.4015205147
247	0.400222906
248	0.3993110321
249	0.3985422112
250	0.3977609093
251	0.3969061697
252	0.3953851796
253	0.3941552489
254	0.3931548777
255	0.3919525031
256	0.3909716044
257	0.3901873133
258	0.3894917085
259	0.3887548932
260	0.3877799043
261	0.3868422849
262	0.3860043904
263	0.3849163349
264	0.3839739822
265	0.3833406073
266	0.3825010911
267	0.3816930507
268	0.3811309957
269	0.3802788085
270	0.3795164237
271	0.3787804
272	0.3775863384
273	0.3768873197
274	0.3763029204
275	0.3759227467
276	0.3748028003
277	0.373859114
278	0.3732285961
279	0.3720673286
280	0.3708194683
281	0.3700501064
282	0.3687094474
283	0.3679142639
284	0.3672437202
285	0.3664800543
286	0.3652388886
287	0.3642389871
288	0.3639741661
289	0.36310126
290	0.3622563042
291	0.3610513357
292	0.360134287
293	0.3592274083
294	0.358060637
295	0.3567576074
296	0.3564515217
297	0.3556322884
298	0.3547973157
299	0.35394251
300	0.3532444682
301	0.3526682262
302	0.3517772112
303	0.3509930279
304	0.3501842923
305	0.3498206976
306	0.3491325314
307	0.3487256773
308	0.3480534949
309	0.3475199229
310	0.3463720935
311	0.3458070236
312	0.3452511952
313	0.3448943778
314	0.3443744952
315	0.3439206719
316	0.3432023142
317	0.3424290827
318	0.341392117
319	0.3408000894
320	0.3401381611
321	0.3394570976
322	0.3387612244
323	0.3381478972
324	0.3373975254
325	0.3369428124
326	0.3364374348
327	0.3353657495
328	0.3350089691
329	0.334277683
330	0.333775782
331	0.3328584967
332	0.3319957921
333	0.3313166857
334	0.3305522113
335	0.3300382737
336	0.3290737916
337	0.3281574424
338	0.3276182182
339	0.3271219229
340	0.3260572016
341	0.3255012448
342	0.3248533418
343	0.323919056
344	0.3235715791
345	0.3231568289
346	0.322578031
347	0.3221004526
348	0.321517196
349	0.3209666286
350	0.3201477041
351	0.3194892119
352	0.3187888326
353	0.3180422916
354	0.3178623525
355	0.3174257518
356	0.3167764845
357	0.3159788338
358	0.3152398702
359	0.3148853559
360	0.3142317469
361	0.3132452983
362	0.3127569819
363	0.3120311757
364	0.3114617143
365	0.311202396
366	0.3103974656
367	0.3100208858
368	0.3092676805
369	0.3086889793
370	0.3078923233
371	0.307541788
372	0.3069993104
373	0.30663561
374	0.3059435872
375	0.3055879861
376	0.305237169
377	0.3043908753
378	0.3039767328
379	0.3033914925
380	0.3024924789
381	0.3018086456
382	0.3010708621
383	0.3003759835
384	0.3000057725
385	0.2993539592
386	0.2987570556
387	0.2982979992
388	0.2977806935
389	0.2971551944
390	0.296749198
391	0.2961640395
392	0.2955560151
393	0.2951868163
394	0.2949735185
395	0.2943254706
396	0.293783437
397	0.2930266033
398	0.2923872984
399	0.2920727809
