iter	MultiClass
0	1.479087184
1	1.420851527
2	1.366477543
3	1.323411871
4	1.298764594
5	1.266652665
6	1.245542965
7	1.237746184
8	1.226078172
9	1.215792234
10	1.202905129
11	1.187766802
12	1.182543629
13	1.173832553
14	1.169443356
15	1.160760563
16	1.156001736
17	1.149791585
18	1.141900763
19	1.138221831
20	1.128815567
21	1.123629908
22	1.116065216
23	1.108750731
24	1.100773483
25	1.093327597
26	1.083618628
27	1.083017987
28	1.072015436
29	1.05446938
30	1.048380715
31	1.042727302
32	1.030574667
33	1.019552266
34	1.004512768
35	0.9942698419
36	0.9857898006
37	0.9797954423
38	0.9680363283
39	0.9612049235
40	0.9490516111
41	0.9376968697
42	0.9297761075
43	0.9192896648
44	0.9125121817
45	0.9044240382
46	0.8991584735
47	0.8940384222
48	0.8858727913
49	0.8792518902
50	0.8745459004
51	0.8669207665
52	0.8628802998
53	0.8571140583
54	0.8520190711
55	0.844996413
56	0.8412519548
57	0.8362852017
58	0.8316284521
59	0.8282601849
60	0.8232778429
61	0.8177472983
62	0.812782051
63	0.8063752273
64	0.8036213204
65	0.8006334705
66	0.7906997485
67	0.7840542448
68	0.7798724667
69	0.7704064127
70	0.7645430239
71	0.7615118113
72	0.7573014219
73	0.7540628136
74	0.7521950309
75	0.747692567
76	0.7456696274
77	0.7406540278
78	0.7373799433
79	0.7323101981
80	0.7278334076
81	0.7233726896
82	0.7195812311
83	0.7153678541
84	0.7111773338
85	0.7045369215
86	0.7004445602
87	0.6990469609
88	0.6967844943
89	0.6919312999
90	0.6877278131
91	0.6850611083
92	0.6826583749
93	0.6803559827
94	0.677466563
95	0.6728884572
96	0.6687178637
97	0.6660663433
98	0.6630601277
99	0.6586867569
100	0.6579746173
101	0.6553545157
102	0.6503664259
103	0.6474555803
104	0.6452826002
105	0.6432551813
106	0.6390556643
107	0.6362872517
108	0.6337767037
109	0.6316780534
110	0.6294173867
111	0.6264383931
112	0.6215992541
113	0.6193775462
114	0.6176765006
115	0.6147250673
116	0.6119939184
117	0.6098111482
118	0.6077359179
119	0.6035019523
120	0.6023083434
121	0.6005846201
122	0.5980053077
123	0.5955996732
124	0.5947303232
125	0.5908250219
126	0.5897311374
127	0.5874313935
128	0.5857885904
129	0.5844148264
130	0.581353012
131	0.5798612683
132	0.5768510159
133	0.5753205797
134	0.571971522
135	0.5694821413
136	0.5671046112
137	0.5651251229
138	0.5633735602
139	0.560255878
140	0.5587468716
141	0.5569046541
142	0.5550218
143	0.5534934608
144	0.5510704162
145	0.5485671393
146	0.5467288109
147	0.545153576
148	0.5439452744
149	0.5419333996
150	0.5399089814
151	0.5375609627
152	0.534960131
