iter	RMSE
0	2.565021686
1	2.267434487
2	2.055498627
3	1.865017036
4	1.722314132
5	1.613188175
6	1.547476584
7	1.478383525
8	1.413819348
9	1.376140103
10	1.343548246
11	1.310332635
12	1.265179779
13	1.228973038
14	1.187030346
15	1.171312003
16	1.127641254
17	1.104773905
18	1.067196202
19	1.047172294
20	1.035533758
21	0.9993271317
22	0.9896704387
23	0.9573387262
24	0.9452174764
25	0.9267964193
26	0.9162005909
27	0.9130443607
28	0.8868702426
29	0.8592145218
30	0.833925536
31	0.8039403341
32	0.8004452283
33	0.7679881308
34	0.7504671878
35	0.7269948047
36	0.7213403108
37	0.7110120849
38	0.6907561338
39	0.6884829291
40	0.6745663565
41	0.6490983013
42	0.6266847071
43	0.6156799257
44	0.5949168502
45	0.5751357296
46	0.5543189069
47	0.5360104281
48	0.528254393
49	0.5215181283
50	0.5180464258
51	0.5027853161
52	0.4956577433
53	0.4945434258
54	0.4837497612
55	0.4743717476
56	0.464729971
57	0.4585889006
58	0.4460008247
59	0.4445785944
60	0.4331545999
61	0.4304268341
62	0.4262673843
63	0.4236241853
64	0.4222365067
65	0.4074511565
66	0.4067711889
67	0.4054466321
68	0.4047454231
69	0.3974571273
70	0.3836183302
71	0.382771803
72	0.3702544509
73	0.3604217425
74	0.3533178653
75	0.3440770336
76	0.343251841
77	0.3426346563
78	0.331704285
79	0.325357026
80	0.3186235249
81	0.3135578244
82	0.3086352608
83	0.3028925176
84	0.2983738506
85	0.2924555181
86	0.2916111921
87	0.2844444629
88	0.2791127924
89	0.2782226907
90	0.2707864089
91	0.2661228125
92	0.2622960959
93	0.2575261727
94	0.2528071798
95	0.2498180436
96	0.2442711242
97	0.240908194
98	0.2391213453
99	0.2339093876
100	0.2313685363
101	0.2257577966
102	0.2195577389
103	0.2149902341
104	0.2102426221
105	0.2060994694
106	0.2054222356
107	0.2003694757
108	0.1968416769
109	0.192537683
110	0.1919451822
111	0.1901162306
112	0.1885070018
113	0.1867776224
114	0.1829258089
115	0.1809801744
116	0.1783064776
117	0.1750907321
118	0.1719669538
119	0.1684401976
120	0.1657626256
121	0.1643827142
122	0.1616300707
123	0.1601549074
124	0.1582428471
125	0.1534719579
126	0.1497575228
127	0.1455339486
128	0.1445060508
129	0.1425051467
130	0.1408583404
131	0.139617377
132	0.1390639851
133	0.1379031265
134	0.1376668374
135	0.1344484115
136	0.1343069905
137	0.1318140718
138	0.131470469
139	0.1296137844
140	0.1290095089
141	0.1262848866
142	0.1226573845
143	0.1215729307
144	0.1202940675
145	0.1178216746
146	0.1158508774
147	0.1154358012
148	0.1134668712
149	0.1131846515
150	0.1108188635
151	0.108536715
152	0.1079678236
153	0.1063014114
154	0.1041312601
155	0.1039674287
156	0.1024543932
157	0.09909259461
158	0.09773073785
159	0.0956887058
160	0.09459205731
161	0.09303430277
162	0.09135298417
163	0.08971004785
164	0.08798275921
165	0.0869606917
166	0.08533863546
167	0.0835380873
168	0.08345366085
169	0.08263211314
170	0.08167233624
171	0.08049623634
172	0.07846068563
173	0.07780588933
174	0.07695207329
175	0.07535643461
176	0.0751867424
177	0.0750307609
178	0.07397381914
179	0.07284137312
180	0.07193882501
181	0.07094706322
182	0.06929906249
183	0.06835501735
184	0.0675180904
185	0.06742703087
186	0.06609172264
187	0.06591104389
188	0.06577704427
189	0.06455084854
190	0.06442078871
191	0.06371080417
192	0.06361916111
193	0.06215087231
194	0.06090652966
195	0.06046227392
196	0.05955642737
197	0.05943753561
198	0.05852529412
199	0.05740623217
